SampleEGFP_COCA	SampleEGFP_SALINE	SampleHDAC5_COCA	SampleHDAC5_SALINE	ConditionSALINE	GenotypeHDAC5
MEblack	-0.197818780735413	0.00994524953552993	0.683228947086588	-0.495355415886705	-0.420377535315348	0.162703250717787
MEblue	0.0168976259827618	0.143904240973605	0.122255548890467	-0.283057415846834	-0.120510184457475	-0.13925850176018
MEbrown	-0.117947911727248	-0.341238416911621	0.611041839208724	-0.151855510569855	-0.4270318676508	0.397667025671771
MEcyan	0.00670550058916342	-0.296263120525274	0.348182922250629	-0.0586253023145184	-0.307342389688254	0.250764254724031
MEdarkgreen	-0.0628818485237547	-0.00685529306827893	-0.107754964470105	0.177492106062138	0.147775814873497	0.0603941362060135
MEdarkgrey	0.235743708619223	0.0884141197976908	-0.033290432944508	-0.290867395472406	-0.175329679813677	-0.280728914244644
MEdarkred	-0.246411067242724	-0.640125165851641	0.735152959591679	0.151383273502685	-0.423262894667875	0.767762899235082
MEdarkturquoise	-0.0744564842073129	-0.221691455973422	0.00382170013508914	0.292326240045646	0.0611715173973742	0.256471639474951
MEgreen	-0.0790187238716855	-0.14261829294697	0.0260073816571874	0.195629635161469	0.0459091690464658	0.191943286983955
MEgreenyellow	0.278311232591086	-0.662282118061984	0.594365853712872	-0.210394968241973	-0.755760526039812	0.332528541131403
MEgrey60	0.108210338404463	0.481176707224253	-0.856332468642079	0.266945423013363	0.647892769919106	-0.510424154175926
MElightcyan	-0.14861519463025	0.000344310124955001	0.513278552393704	-0.365007667888409	-0.315807731652485	0.128406352623174
MElightgreen	0.419625662185566	-0.12915062945658	-0.671950775213969	0.381475742484983	0.218519957895377	-0.251558757508418
MElightyellow	-0.188794118487325	0.1634678741021	0.494542731983525	-0.469216487598301	-0.264786066459579	0.0219331710200576
MEmagenta	-0.196796318631963	0.130855206740122	-0.499094486803937	0.565035598695777	0.602659115767503	0.0571066780521258
MEmidnightblue	-0.393108858016761	0.21391196590806	0.416712893987929	-0.237516001879227	-0.0204416947828724	0.155189060845355
MEpink	0.0484582546860738	-0.702772572228459	0.314065846836449	0.340248470705936	-0.313955081402634	0.566652821051584
MEpurple	-0.00803058589464532	0.706833551878724	-0.638638880422957	-0.0601640855611218	0.560032185682769	-0.605181120782125
MEred	-0.209659710963119	-0.294764151516897	0.826996873077543	-0.322573010597527	-0.534629665091283	0.436843879182762
MEroyalblue	0.082814821512134	-0.278016980062596	0.688647899693039	-0.493445741142577	-0.668106314636352	0.169050028178258
MEsalmon	-0.198147524534231	-0.0795824866254313	0.706971531677866	-0.429241520518204	-0.440654516241783	0.240521245057603
MEtan	0.35013837592313	-0.556747929019525	-0.384349627915194	0.590959181011589	0.0296278133203981	0.178929121646028
MEturquoise	0.18740598550741	0.20310171153104	-0.818471662820824	0.427963965782374	0.54651890800985	-0.338189586008654
MEyellow	0.118043723228358	0.290582032372043	-0.580880633569916	0.172254877969515	0.40082852216489	-0.353880284990559
