SampleEGFP_COCA	SampleEGFP_SALINE	SampleHDAC5_COCA	SampleHDAC5_SALINE	ConditionSALINE	GenotypeHDAC5
MEblack	0.537702784530588	0.975528589833405	0.0143164257407781	0.101516077971511	0.173616347303128	0.61339776969496
MEblue	0.958431825783808	0.655458430972856	0.705052425062296	0.372664304216491	0.709100053470442	0.666001732866721
MEbrown	0.715054657441797	0.277690910299579	0.0347899682864199	0.637547505883278	0.166195260725468	0.200488456454146
MEcyan	0.983499171415045	0.349775902869004	0.267387329579045	0.856385895150098	0.331168011133006	0.431784357643652
MEdarkgreen	0.846064662162364	0.983130609273299	0.73888446212656	0.58103804947253	0.646715862757398	0.852094245930861
MEdarkgrey	0.460744767610333	0.784670278754395	0.918195263649996	0.35903545460895	0.585727477221269	0.376779024177075
MEdarkred	0.440084692854252	0.0249549290134531	0.00644555678140353	0.638606416830161	0.170373464281367	0.00354794391706139
MEdarkturquoise	0.818114905933737	0.488637327629283	0.990595217972333	0.356519288326188	0.850209275475778	0.421018705826594
MEgreen	0.807149723323251	0.658371155105853	0.936055144461568	0.542303333948686	0.887337298182257	0.550087324783175
MEgreenyellow	0.38107612163655	0.0189497992463969	0.0415386009643793	0.511598542591307	0.0044653569818259	0.2909295478072
MEgrey60	0.73781517640179	0.113256129748943	0.000376803940355657	0.401612429563499	0.0227120329228239	0.0899618186187911
MElightcyan	0.644825774583904	0.999152674435802	0.0878779915159974	0.243355804305547	0.317321511672125	0.690844733743629
MElightgreen	0.174467696432125	0.689131627615051	0.0166924810590855	0.221116029168883	0.495036101716535	0.430277743324219
MElightyellow	0.55677338802524	0.611708422223493	0.102166011052689	0.123830292154019	0.40557591343615	0.94605844327459
MEmagenta	0.539849464392519	0.685213249514453	0.0985614011384824	0.0555774663123941	0.0380759021196995	0.860073326437666
MEmidnightblue	0.206171465639574	0.504399607394621	0.177790508669851	0.457281106035003	0.949722284071894	0.630090366566191
MEpink	0.881119848416886	0.0108027102335099	0.320144193580313	0.279177916239141	0.320324151139972	0.0547274095441025
MEpurple	0.980238929269145	0.0101616497475136	0.0254017305641441	0.852652202475746	0.0582657295674306	0.0370649929238822
MEred	0.513109209913217	0.352335380896782	0.000905748366080487	0.306489313796247	0.0733193962393946	0.155623553579431
MEroyalblue	0.79805008088103	0.381600833816774	0.0132681470135453	0.103047712074244	0.0175649543824436	0.599428284058812
MEsalmon	0.53701334695653	0.805796909499442	0.0101403781929888	0.16377605406074	0.151636357732402	0.451436075662271
MEtan	0.264526461144373	0.0600787454917712	0.217365128226304	0.0430236792734747	0.927173072913411	0.577929944713739
MEturquoise	0.559731084100448	0.526669019446497	0.00113461097443377	0.165172032545807	0.0659761302065468	0.282285114862664
MEyellow	0.714831731032423	0.359528733131301	0.0476369482559403	0.592420750546965	0.196603791395281	0.259101617463692
